Country,participation_rate,ratio,GDPPC
Australia,86.2,1.812398354901748,65965.622
Austria,84.8,1.7167719996277655,58668.601
Belgium,85.0,1.6461056549111557,56128.791
Canada,88.2,1.509785241304571,53834.483
Denmark,87.8,1.3044688595569436,69273.048
Estonia,86.1,1.5559865385135285,31530.969
Finland,90.8,1.4972825058432062,54773.988
France,87.8,1.6602324227644325,48011.828
Germany,84.2,1.6105507065949596,55521.345
Greece,76.6,2.7289688338560496,24341.505
Hungary,78.6,1.809568990714302,23881.429
India,42.6,6.798417037554366,2697.563
Ireland,85.0,2.3036112906039348,103500.385
Italy,70.2,2.3436475133129653,40286.836
Japan,76.7,4.425531914893617,32859.112
Latvia,81.5,1.9522097575753372,24222.809
Lithuania,83.9,1.925665194981809,28712.702
Luxembourg,86.3,1.979079692468762,135321.424
Mexico,60.5,2.5208704632397,13971.898
Netherlands,87.6,1.546903056154274,67984.285
New Zealand,88.0,1.872340425531915,47072.425
Norway,89.9,1.3497183223815448,90433.666
Poland,77.1,1.8579367992900486,23563.217
Portugal,86.9,3.4087678939019006,29341.17
Slovenia,85.2,1.7192997337536884,34544.168
South Africa,81.5,2.4246210916469675,6377.068
Spain,83.7,1.9815588202316343,35788.734
Sweden,89.9,1.2874437426900585,57212.541
