Time,Sleep and rest,Personal care,Paid work,Travel,Unpaid household work,Unpaid care,Watching television,Entertainment and leisure,Education and study,Other
04:00,96.84,0.90,0.79,0.21,0.23,0.10,0.20,0.33,0.00,0.40
04:10,96.87,0.80,0.79,0.21,0.23,0.10,0.20,0.33,0.00,0.43
04:20,96.84,0.87,0.81,0.19,0.23,0.10,0.20,0.40,0.00,0.40
04:30,96.40,0.90,0.84,0.16,0.40,0.10,0.23,0.40,0.00,0.50
04:40,96.13,1.10,0.84,0.23,0.33,0.13,0.23,0.40,0.00,0.50
04:50,95.89,1.27,0.84,0.26,0.33,0.13,0.30,0.40,0.00,0.53
05:00,94.51,1.91,0.91,0.40,0.67,0.07,0.30,0.61,0.00,0.53
05:10,94.39,1.81,0.91,0.50,0.79,0.10,0.33,0.64,0.00,0.53
05:20,93.99,2.00,0.91,0.60,0.64,0.10,0.33,0.61,0.00,0.77
05:30,92.17,2.83,1.06,0.99,0.74,0.23,0.33,0.74,0.00,0.84
05:40,91.41,2.93,1.13,1.47,0.80,0.23,0.40,0.84,0.00,0.76
05:50,90.89,2.89,1.57,1.44,0.87,0.23,0.40,0.99,0.00,0.76
06:00,84.70,6.33,2.30,1.24,2.14,0.57,0.34,1.57,0.07,0.70
06:10,83.33,6.37,2.46,1.50,2.54,0.53,0.44,1.97,0.07,0.91
06:20,81.47,7.17,2.60,1.74,2.83,0.63,0.44,2.34,0.07,0.70
06:30,75.00,11.13,3.16,2.26,3.83,0.87,0.50,2.94,0.00,0.36
06:40,73.47,11.67,3.26,2.30,4.19,1.01,0.60,3.24,0.00,0.23
06:50,72.26,11.43,3.61,2.51,4.56,1.04,0.99,3.37,0.00,0.23
07:00,58.89,18.44,4.91,3.29,7.24,1.86,1.06,3.81,0.03,0.47
07:10,56.91,18.09,5.34,3.77,7.44,1.99,1.27,4.53,0.10,0.50
07:20,55.36,17.76,5.63,4.60,7.69,2.09,1.36,4.96,0.10,0.60
07:30,47.57,20.53,7.00,5.86,9.34,2.09,1.51,5.50,0.03,0.57
07:40,45.99,20.44,7.61,6.99,9.11,2.10,1.61,5.59,0.10,0.46
07:50,44.60,19.73,8.67,7.43,9.19,2.30,1.87,5.57,0.10,0.57
08:00,33.14,23.67,12.73,7.86,11.04,2.47,1.80,6.20,0.24,0.77
08:10,31.66,23.44,13.59,8.16,11.14,2.47,1.86,6.96,0.27,0.53
08:20,30.16,22.37,14.76,8.73,11.47,2.56,1.83,7.16,0.27,0.70
08:30,24.21,22.61,18.49,9.66,12.33,2.07,1.80,7.96,0.27,0.60
08:40,23.29,21.56,19.77,9.54,12.19,1.79,2.33,8.27,0.37,0.83
08:50,22.57,20.21,21.13,8.84,13.14,1.87,2.31,8.83,0.37,0.79
09:00,15.73,19.84,26.11,6.64,16.20,1.99,2.51,8.76,1.33,0.96
09:10,14.89,19.19,27.17,6.14,17.06,2.04,2.56,8.94,1.20,0.84
09:20,14.54,17.89,27.96,5.96,17.33,1.94,2.64,9.64,1.20,0.94
09:30,11.54,16.24,29.39,6.00,19.53,1.83,2.91,10.36,1.27,1.00
09:40,11.34,15.39,29.91,5.77,19.54,1.90,2.86,10.81,1.27,1.13
09:50,11.24,14.40,29.97,5.77,19.89,2.21,2.94,11.24,1.31,1.13
10:00,7.67,14.84,30.63,6.27,21.57,2.13,2.96,11.51,1.40,1.11
10:10,7.40,13.99,30.93,5.94,21.87,2.34,3.23,11.77,1.54,0.99
10:20,7.07,13.41,31.17,5.71,21.89,2.39,3.13,12.47,1.57,1.09
10:30,6.06,12.03,31.17,7.23,21.87,2.71,2.99,13.16,1.67,1.11
10:40,5.91,11.33,31.76,6.81,22.59,2.70,2.91,12.91,1.81,1.19
10:50,5.93,11.04,31.80,6.46,22.89,2.74,2.99,13.14,1.89,1.16
11:00,4.21,11.43,31.60,7.21,23.89,2.63,2.67,13.60,1.83,0.96
11:10,4.07,11.17,31.67,6.63,24.64,2.39,2.67,13.81,2.00,1.01
11:20,4.04,10.51,31.64,6.77,25.31,2.41,2.57,13.60,1.86,1.17
11:30,3.70,9.14,31.51,7.37,25.94,2.31,2.87,13.96,1.94,1.17
11:40,3.64,9.40,31.37,6.90,26.19,2.41,2.96,14.01,1.94,1.10
11:50,3.61,9.33,31.34,6.61,26.46,2.50,3.09,14.10,1.97,1.01
12:00,2.74,12.71,28.61,6.37,27.03,2.46,3.33,13.61,1.87,1.23
12:10,2.60,14.09,28.37,6.04,26.24,2.34,3.36,13.76,2.03,1.14
12:20,2.56,15.31,27.94,6.20,25.39,2.01,3.63,13.76,1.96,1.19
12:30,2.36,17.37,25.81,6.69,25.06,1.96,3.91,13.89,1.77,1.20
12:40,2.36,17.97,25.74,6.61,23.84,2.06,4.19,13.89,1.77,1.44
12:50,2.56,18.73,25.74,6.14,23.96,2.50,4.54,13.11,1.64,1.24
13:00,2.63,18.09,26.10,6.26,23.39,2.40,5.00,12.83,1.87,1.33
13:10,2.93,18.84,26.00,6.29,22.11,2.20,5.33,13.23,1.84,1.23
13:20,3.13,18.00,25.80,5.83,22.43,2.31,5.46,13.90,2.01,1.17
13:30,3.26,15.99,26.60,5.36,22.54,2.44,5.90,14.77,1.94,1.13
