Region,Year,Female,Male
World,2015,18.25,6.14
World,2016,18.2,6.19
World,2017,18.14,6.25
World,2018,18.08,6.3
World,2019,18.03,6.35
World,2020,17.97,6.4
World,2021,17.91,6.44
World,2022,17.85,6.48
World,2023,17.79,6.52
World,2024,17.73,6.56
World,2025,17.67,6.6
World,2026,17.61,6.63
World,2027,17.55,6.66
World,2028,17.49,6.69
World,2029,17.43,6.72
World,2030,17.37,6.75
World,2031,17.3,6.77
World,2032,17.24,6.79
World,2033,17.19,6.82
World,2034,17.13,6.84
World,2035,17.08,6.86
World,2036,17.03,6.88
World,2037,16.98,6.89
World,2038,16.93,6.91
World,2039,16.89,6.93
World,2040,16.85,6.94
World,2041,16.81,6.96
World,2042,16.78,6.97
World,2043,16.74,6.99
World,2044,16.71,7.0
World,2045,16.69,7.02
World,2046,16.66,7.04
World,2047,16.64,7.06
World,2048,16.62,7.07
World,2049,16.6,7.09
World,2050,16.58,7.11
Australia and New Zealand,2015,20.38,11.26
Australia and New Zealand,2016,20.31,11.28
Australia and New Zealand,2017,20.22,11.29
Australia and New Zealand,2018,20.14,11.31
Australia and New Zealand,2019,20.05,11.32
Australia and New Zealand,2020,19.97,11.33
Australia and New Zealand,2021,19.88,11.34
Australia and New Zealand,2022,19.79,11.34
Australia and New Zealand,2023,19.71,11.35
Australia and New Zealand,2024,19.63,11.34
Australia and New Zealand,2025,19.55,11.34
Australia and New Zealand,2026,19.47,11.33
Australia and New Zealand,2027,19.39,11.33
Australia and New Zealand,2028,19.31,11.32
Australia and New Zealand,2029,19.23,11.3
Australia and New Zealand,2030,19.15,11.29
Australia and New Zealand,2031,19.07,11.28
Australia and New Zealand,2032,18.99,11.26
Australia and New Zealand,2033,18.91,11.25
Australia and New Zealand,2034.0,18.83,11.23
Australia and New Zealand,2035.0,18.77,11.22
Australia and New Zealand,2036.0,18.71,11.2
Australia and New Zealand,2037.0,18.66,11.19
Australia and New Zealand,2038.0,18.62,11.18
Australia and New Zealand,2039.0,18.59,11.17
Australia and New Zealand,2040.0,18.57,11.16
Australia and New Zealand,2041.0,18.55,11.16
Australia and New Zealand,2042.0,18.53,11.16
Australia and New Zealand,2043.0,18.52,11.16
Australia and New Zealand,2044.0,18.51,11.16
Australia and New Zealand,2045.0,18.51,11.16
Australia and New Zealand,2046.0,18.5,11.16
Australia and New Zealand,2047.0,18.49,11.15
Australia and New Zealand,2048.0,18.48,11.14
Australia and New Zealand,2049.0,18.47,11.13
