Region,Year,Sex,Value
World,2015,Female,18.25
World,2016,Female,18.2
World,2017,Female,18.14
World,2018,Female,18.08
World,2019,Female,18.03
World,2020,Female,17.97
World,2021,Female,17.91
World,2022,Female,17.85
World,2023,Female,17.79
World,2024,Female,17.73
World,2025,Female,17.67
World,2026,Female,17.61
World,2027,Female,17.55
World,2028,Female,17.49
World,2029,Female,17.43
World,2030,Female,17.37
World,2031,Female,17.3
World,2032,Female,17.24
World,2033,Female,17.19
World,2034,Female,17.13
World,2035,Female,17.08
World,2036,Female,17.03
World,2037,Female,16.98
World,2038,Female,16.93
World,2039,Female,16.89
World,2040,Female,16.85
World,2041,Female,16.81
World,2042,Female,16.78
World,2043,Female,16.74
World,2044,Female,16.71
World,2045,Female,16.69
World,2046,Female,16.66
World,2047,Female,16.64
World,2048,Female,16.62
World,2049,Female,16.6
World,2050,Female,16.58
Australia and New Zealand,2015,Female,20.38
Australia and New Zealand,2016,Female,20.31
Australia and New Zealand,2017,Female,20.22
Australia and New Zealand,2018,Female,20.14
Australia and New Zealand,2019,Female,20.05
Australia and New Zealand,2020,Female,19.97
Australia and New Zealand,2021,Female,19.88
Australia and New Zealand,2022,Female,19.79
Australia and New Zealand,2023,Female,19.71
Australia and New Zealand,2024,Female,19.63
Australia and New Zealand,2025,Female,19.55
Australia and New Zealand,2026,Female,19.47
Australia and New Zealand,2027,Female,19.39
Australia and New Zealand,2028,Female,19.31
Australia and New Zealand,2029,Female,19.23
Australia and New Zealand,2030,Female,19.15
Australia and New Zealand,2031,Female,19.07
Australia and New Zealand,2032,Female,18.99
Australia and New Zealand,2033,Female,18.91
Australia and New Zealand,2034,Female,18.83
Australia and New Zealand,2035,Female,18.77
Australia and New Zealand,2036,Female,18.71
Australia and New Zealand,2037,Female,18.66
Australia and New Zealand,2038,Female,18.62
Australia and New Zealand,2039,Female,18.59
Australia and New Zealand,2040,Female,18.57
Australia and New Zealand,2041,Female,18.55
