Country,GDPPC,unpaid_work_female,unpaid_work_male
Australia,65965.622,311.0,171.59583
Austria,58668.601,237.79821,138.51473
Belgium,56128.791,237.32297,144.17238
Canada,53834.483,223.6564,148.13789
China,12968.567,234.0,91.0
Denmark,69273.048,242.80872,186.13608
Estonia,31530.969,249.21239,160.16359
Finland,54773.988,235.76947,157.46492
France,48011.828,224.03085,134.93945
Germany,55521.345,242.27838,150.43201
Greece,24341.505,259.48148,95.084076
Hungary,23881.429,293.76733,162.34105
India,2697.563,351.9353,51.767242
Ireland,103500.385,292.5083,126.97815
Italy,40286.836,306.33594,130.70905
Japan,32859.112,208.0,47.0
"Korea, Republic of",36131.846,215.00894,48.994484
Latvia,24222.809,253.25412,129.7269
Lithuania,28712.702,291.95166,151.61081
Luxembourg,135321.424,239.61743,121.07518
Mexico,13971.898,331.29083,131.41922
Netherlands,67984.285,224.94611,145.41707
New Zealand,47072.425,264.0,141.0
Norway,90433.666,227.40991,168.48694
Poland,23563.217,295.00824,158.78271
Portugal,29341.17,328.15643,96.268341
Slovenia,34544.168,286.19876,166.4624
South Africa,6377.068,249.58841,102.93914
Spain,35788.734,289.1279,145.90932
Sweden,57212.541,220.15288,171.0
Türkiye,15665.943,305.04739,67.591736
United Kingdom of Great Britain and Northern Ireland,52423.294,248.63229,140.0818
United States of America,86601.28,227.870446284,145.413484452
