country,ISO3,most_recent_value,year
Albania,ALB,3.47222,2011.0
Algeria,DZA,3.75,2012.0
Argentina,ARG,9.2486,2013.0
Armenia,ARM,4.37083,2008.0
Australia,AUS,11.38889,2006.0
Austria,AUT,10.05396,2009.0
Azerbaijan,AZE,8.88889,2008.0
Belarus,BLR,9.51389,2015.0
Belgium,BEL,10.06944,2013.0
Bhutan,BTN,5.90278,2015.0
Bolivia,BOL,12.13362,2001.0
Brazil,BRA,5.13276,2017.0
Bulgaria,BGR,9.23611,2010.0
Cambodia,KHM,1.25,2004.0
Cameroon,CMR,4.56784,2014.0
Canada,CAN,9.58333,2016.0
Chile,CHL,9.85396,2015.0
China,CHN,5.90278,2018.0
Colombia,COL,2.92763,2017.0
Costa Rica,CRI,8.37858,2017.0
Cuba,CUB,12.47024,2016.0
Denmark,DNK,11.25,2009.0
Dominican Republic,DOM,3.78561,2016.0
Ecuador,ECU,4.72192,2012.0
"Egypt, Arab Rep.",EGY,2.43056,2015.0
El Salvador,SLV,7.02928,2017.0
Estonia,EST,10.76389,2010.0
Ethiopia,ETH,6.59722,2013.0
Fiji,FJI,5.19476,2016.0
Finland,FIN,10.49167,2010.0
France,FRA,9.49464,2010.0
Germany,DEU,10.4,2013.0
Ghana,GHA,4.58333,2009.0
Greece,GRC,7.01389,2014.0
Guatemala,GTM,2.60537,2017.0
Honduras,HND,4.31393,2009.0
"Hong Kong SAR, China",HKG,3.33333,2013.0
Hungary,HUN,7.9796,2010.0
"Iran, Islamic Rep.",IRN,5.20833,2009.0
Iraq,IRQ,4.16667,2007.0
Ireland,IRL,8.95833,2005.0
Italy,ITA,8.4,2014.0
Japan,JPN,3.125,2016.0
Kazakhstan,KAZ,6.25,2018.0
"Korea, Rep.",KOR,4.375,2019.0
Kyrgyz Republic,KGZ,9.51389,2015.0
Lao PDR,LAO,10.06278,2017.0
Latvia,LVA,9.09722,2003.0
Lesotho,LSO,6.18056,2003.0
Liberia,LBR,2.57656,2010.0
Lithuania,LTU,8.95694,2003.0
Luxembourg,LUX,7.08333,2014.0
Malawi,MWI,1.25,2005.0
Malaysia,MYS,5.97222,2003.0
Malta,MLT,7.01389,2002.0
Mauritius,MUS,4.79167,2003.0
Mexico,MEX,11.11167,2019.0
Moldova,MDA,11.2725,2012.0
Mongolia,MNG,7.59633,2019.0
Morocco,MAR,2.98611,2012.0
Netherlands,NLD,9.23611,2012.0
New Zealand,NZL,10.55556,2010.0
North Macedonia,MKD,5.41667,2015.0
Norway,NOR,12.33333,2011.0
Oman,OMN,7.5,2008.0
Pakistan,PAK,1.80556,2007.0
Panama,PAN,7.57184,2011.0
Paraguay,PRY,4.27041,2016.0
Peru,PER,8.94605,2010.0
Poland,POL,9.92917,2013.0
Portugal,PRT,10.2414,2015.0
Qatar,QAT,2.22222,2013.0
Romania,ROU,9.375,2012.0
Russian Federation,RUS,8.125,2014.0
Serbia,SRB,8.69038,2015.0
Slovenia,SVN,11.11111,2001.0
South Africa,ZAF,6.45833,2010.0
Spain,ESP,8.61111,2010.0
Sweden,SWE,12.82797,2011.0
Switzerland,CHE,10.80417,2016.0
Tanzania,TZA,4.23611,2014.0
Thailand,THA,3.75,2015.0
Tunisia,TUN,2.70833,2006.0
Turkiye,TUR,3.70575,2015.0
Uganda,UGA,7.5,2018.0
United Kingdom,GBR,6.96528,2015.0
United States,USA,9.66667,2019.0
Uruguay,URY,8.37738,2013.0
West Bank and Gaza,PSE,2.98611,2013.0
