Country,ISO3,value
Afghanistan,AFG,0.655
Albania,ALB,0.181
Algeria,ALB,0.429
Angola,AND,0.536
Argentina,ARG,0.328
Armenia,ARM,0.245
Australia,AUS,0.097
Austria,AUS,0.069
Azerbaijan,AZE,0.323
Bahamas,AZE,0.341
Bahrain,AZE,0.212
Bangladesh,AZE,0.537
Barbados,AZE,0.252
Belarus,BEL,0.118
Belgium,BEL,0.045
Belize,BEL,0.415
Benin,BEN,0.612
Bhutan,BHS,0.421
Bolivia,BOL,0.417
Bosnia and Herzegovina,BOL,0.149
Botswana,BOL,0.465
Brazil,BRA,0.408
Brunei,BRN,0.255
Bulgaria,BTN,0.206
Burkina Faso,BTN,0.594
Burundi,BTN,0.504
Cambodia,CAF,0.474
Cameroon,CAF,0.56
Canada,CAN,0.08
Cape Verde,CAN,0.397
Central African Republic,CCK,0.68
Chad,CCK,0.71
Chile,CHE,0.247
China,CHE,0.168
Colombia,COL,0.428
Costa Rica,COM,0.288
Croatia,CRI,0.116
Cuba,CUB,0.304
Cyprus,CYP,0.086
Czech Republic,CZE,0.136
Democratic Republic of the Congo,CZE,0.617
Denmark,CZE,0.043
Dominican Republic,DOM,0.455
Ecuador,ECU,0.384
Egypt,EGY,0.449
El Salvador,EGY,0.383
Estonia,EST,0.086
Eswatini,EST,0.567
Ethiopia,ETH,0.517
Fiji,ETH,0.37
Finland,FIN,0.039
France,FRA,0.049
Gabon,GAB,0.525
Gambia,GAB,0.612
Georgia,GEO,0.331
Germany,GEO,0.084
Ghana,GHA,0.538
Greece,GRD,0.116
Guatemala,GTM,0.479
Guyana,GUY,0.462
Haiti,GUY,0.636
Honduras,HND,0.423
Hungary,HUN,0.233
Iceland,HUN,0.058
India,IND,0.488
Indonesia,IND,0.48
Iran,IOT,0.459
Iraq,IOT,0.577
Ireland,IOT,0.093
Israel,ISR,0.123
Italy,ITA,0.069
Ivory Coast,ITA,0.638
Jamaica,JAM,0.396
Japan,JAM,0.075
Jordan,JOR,0.45
Kazakhstan,KAZ,0.19
Kenya,KEN,0.518
Kuwait,KOR,0.242
Kyrgyzstan,KWT,0.369
Laos,LAO,0.459
Latvia,LAO,0.176
Lebanon,LCA,0.411
Lesotho,LCA,0.553
Liberia,LCA,0.65
Libya,LCA,0.252
Lithuania,LIE,0.124
Luxembourg,LUX,0.065
Malawi,MAF,0.565
Malaysia,MAF,0.253
Maldives,MAF,0.369
Mali,MAF,0.671
Malta,MAF,0.175
Mauritania,MAR,0.634
Mauritius,MAR,0.347
Mexico,MEX,0.322
Moldova,MNP,0.204
Mongolia,MNP,0.322
Montenegro,MNP,0.109
Morocco,MNP,0.454
Mozambique,MOZ,0.523
Myanmar,MWI,0.478
Namibia,NAM,0.44
Nepal,NCL,0.452
Netherlands,NER,0.043
New Zealand,NER,0.094
Nicaragua,NIC,0.428
Niger,NIC,0.642
North Macedonia,NOR,0.143
Norway,NOR,0.038
Oman,NZL,0.306
Pakistan,PAK,0.538
Panama,PAN,0.407
Papua New Guinea,PAN,0.725
Paraguay,PAN,0.446
Peru,PER,0.395
Philippines,PER,0.43
Poland,POL,0.115
Portugal,POL,0.079
Qatar,QAT,0.185
Republic of the Congo,QAT,0.57
Romania,REU,0.276
Russia,RUS,0.225
Rwanda,RWA,0.402
Saint Lucia,RWA,0.401
Samoa,RWA,0.36
Sao Tome and Principe,RWA,0.537
Saudi Arabia,SAU,0.252
Senegal,SEN,0.533
Serbia,SEN,0.132
Sierra Leone,SHN,0.644
Singapore,SHN,0.065
Slovakia,SLE,0.191
Slovenia,SLE,0.063
South Africa,SOM,0.406
South Korea,SOM,0.047
Spain,SOM,0.07
Sri Lanka,SRB,0.401
Sudan,STP,0.545
Suriname,SUR,0.436
Sweden,SWE,0.045
Switzerland,SWE,0.025
Syria,SYR,0.482
Taiwan,SYR,0.064
Tajikistan,SYR,0.314
Tanzania,SYR,0.556
Thailand,THA,0.359
Togo,TLS,0.573
Tonga,TON,0.354
Trinidad and Tobago,TON,0.323
Tunisia,TUN,0.296
Turkey,TUR,0.306
Uganda,UGA,0.535
Ukraine,UKR,0.234
United Arab Emirates,UMI,0.118
United Kingdom,UMI,0.109
United States,UMI,0.204
Uruguay,UMI,0.288
Uzbekistan,UZB,0.288
Venezuela,VEN,0.479
Vietnam,VGB,0.296
Yemen,YEM,0.795
Zambia,ZAF,0.539
Zimbabwe,ZAF,0.527
