country,type,date,value
Armenia,Type of work: Total,2021,11.92
Armenia,Type of work: Total,2020,10.85
Armenia,Type of work: Total,2019,10.7
Armenia,Type of work: Total,2018,10.2
Belgium,Type of work: Total,2019,9.2
Belgium,Type of work: Total,2014,19.4
Bangladesh,Type of work: Total,2022,11.5
Bangladesh,Type of work: Total,2017,9.8
Bangladesh,Type of work: Total,2016,14.1
Bangladesh,Type of work: Total,2010,17.5
Brazil,Type of work: Total,2022,4.201
Brazil,Type of work: Total,2019,3.966
Brazil,Type of work: Total,2018,4.161
Brazil,Type of work: Total,2017,4.282
Brazil,Type of work: Total,2016,3.836
Canada,Type of work: Total,2018,79.4
Switzerland,Type of work: Total,2020,41
Switzerland,Type of work: Total,2016,42.7
Switzerland,Type of work: Total,2013,32.9
Switzerland,Type of work: Total,2010,32.7
Colombia,Type of work: Total,2019,2.38
Colombia,Type of work: Total,2018,2.45
Colombia,Type of work: Total,2017,2.66
Colombia,Type of work: Total,2016,2.75
Colombia,Type of work: Total,2015,2.61
Colombia,Type of work: Total,2014,2.75
Colombia,Type of work: Total,2013,2.81
Colombia,Type of work: Total,2012,3
Colombia,Type of work: Total,2011,3.04
Colombia,Type of work: Total,2010,3.1
Cabo Verde,Type of work: Total,2022,3
Costa Rica,Type of work: Total,2019,2.57
Costa Rica,Type of work: Total,2018,2.23
Costa Rica,Type of work: Total,2017,2.08
Denmark,Type of work: Total,2020,27
Denmark,Type of work: Total,2019,33
Denmark,Type of work: Total,2018,33
"Falkland Islands, Malvinas",Type of work: Total,2016,6.88
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2022,54.6
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2021,62.2
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2020,63.6
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2019,62.4
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2018,64
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2017,62.7
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2016,65.4
United Kingdom of Great Britain and Northern Ireland,Type of work: Total,2014,70
Guatemala,Type of work: Total,2019,7.01
Hungary,Type of work: Total,2020,30.6
Hungary,Type of work: Total,2019,33.2
Hungary,Type of work: Total,2017,36.7
Hungary,Type of work: Total,2014,34.3
Hungary,Type of work: Total,2011,28.4
Indonesia,Type of work: Total,2018,14.4
Indonesia,Type of work: Total,2017,11.5
Ireland,Type of work: Total,2013,28.4
Israel,Type of work: Total,2021,21.2
Israel,Type of work: Total,2020,21
Israel,Type of work: Total,2019,23.2
Israel,Type of work: Total,2018,20.55
Israel,Type of work: Total,2017,20.69
Israel,Type of work: Total,2016,20.25
Italy,Type of work: Total,2013,12.6
Japan,Type of work: Total,2021,18.12
Kazakhstan,Type of work: Total,2021,0.3
Kazakhstan,Type of work: Total,2020,0.4
Kazakhstan,Type of work: Total,2019,0.4
Kazakhstan,Type of work: Total,2018,0.62
Kazakhstan,Type of work: Total,2017,0.59
Kenya,Type of work: Total,2016,0.3
Republic of Moldova,Type of work: Total,2015,42.2
Mexico,Type of work: Total,2018,1.21
Mongolia,Type of work: Total,2018,4.46
Mongolia,Type of work: Total,2017,4.55
Mongolia,Type of work: Total,2016,3.91
Mongolia,Type of work: Total,2015,4.11
Mongolia,Type of work: Total,2014,4.79
Mongolia,Type of work: Total,2013,5.1
Mongolia,Type of work: Total,2012,4.43
Mongolia,Type of work: Total,2011,2.01
Mongolia,Type of work: Total,2010,1.77
Mongolia,Type of work: Total,2009,1.92
Mongolia,Type of work: Total,2008,2.49
Netherlands,Type of work: Total,2016,49
Nepal,Type of work: Total,2018,1.8
New Zealand,Type of work: Total,2021,50.7
New Zealand,Type of work: Total,2018,21.5
Peru,Type of work: Total,2017,16
Poland,Type of work: Total,2022,28.4
Poland,Type of work: Total,2016,55.2
Portugal,Type of work: Total,2018,7.8
Portugal,Type of work: Total,2012,11.5
Russian Federation,Type of work: Total,2018,1.26
Russian Federation,Type of work: Total,2017,1.2
Russian Federation,Type of work: Total,2016,1.3
Saudi Arabia,Type of work: Total,2018,7.1
Singapore,Type of work: Total,2021,22
Singapore,Type of work: Total,2018,29
Singapore,Type of work: Total,2016,35
Singapore,Type of work: Total,2014,17.8
Singapore,Type of work: Total,2012,32.3
Sierra Leone,Type of work: Total,2014,20.5
Slovenia,Type of work: Total,2019,29.14
Tajikistan,Type of work: Total,2016,1.98
Ukraine,Type of work: Total,2021,7.1
South Africa,Type of work: Total,2018,6.7
South Africa,Type of work: Total,2014,5.8
South Africa,Type of work: Total,2010,3.5
